Nick,Istanbul VDS ( 550 ) - 77.79.73.197:27910,PL ( Yok / Az / Orta / Yuksek ),Bursa Dedicated (330 ) - 37.247.111.141:27910,PL ( Yok / Az / Orta / Yuksek ),ISTANBUL VDS ( 150 ) - 185.153.221.120:27910,PL ( Yok / Az / Orta / Yuksek ),1. Tercih,2. Tercih,yatırılan para
Plague- Görkem,30-32,Yok,35-38,az,20-30,orta,Bursa Dedicated (330 ) - 37.247.111.141:27910,Istanbul VDS ( 550 ) - 77.79.73.197:27910,
Septembe-Oğuzhan,,,,,,,,,
Warhelmet-Tolga,,,,,,,,,
Black-Cenk,,,,,,,,,
Blood- Murat,,,,,,,,,
Cold- Murat,,,,,,,,,
BrutaL1tY - Serkan,,,,,,,,,
Scorpion -Serkan,,,,,,,,,
LiOn-Hakan,197,Yok,200,Yok,194,Yok,ISTANBUL VDS ( 150 ) - 185.153.221.120:27910,Bursa Dedicated (330 ) - 37.247.111.141:27910,
CyberDoom-Ali,,,,,,,,,
Fire - Oskay,,,,,,,,,
Leoner-Güney,,,,,,,,,
Blade - Enis,,,,,,,,,
Savage - Şahin,,,,,,,,,
NiGGY- Mesut,7,YOK,14,ZAMAN ZAMAN,9,SIK SIK,Istanbul VDS ( 550 ) - 77.79.73.197:27910,Bursa Dedicated (330 ) - 37.247.111.141:27910,
Kankas-Hakan,4-8,yok,14 20,az,6 10,cok,Istanbul VDS ( 550 ) - 77.79.73.197:27910,Bursa Dedicated (330 ) - 37.247.111.141:27910,
Lasthero-Oğuzhan,,,,,,,,,
NeMeSiS-Selçuk,,,,,,,,,
Sword-Cemal,,,,,,,,,
Real-Ozan,,,,,,,,,
Hyperman-Ahmet,,,,,,,,,
Froggy-Tolga,10,az,10,az,10,orta,Bursa,İstanbul,
FickEn-Burak,,,,,,,,,
NeO-İlker,30,az,20,yok,30,orta,Bursa,grid,
X?MAN-Oktay,,,,,,,,,
Porsuk-Toros,,,,,,,,,
Darky-Buğra,,,,,,,,,
Str1ker-Emre,,,,,,,,,
Aramis-Burak,,,,,,,,,
Corvus-Murat,5,Yok,11,Yok,Timeout,Timeout,ISTANBUL VDS ( 150 ) - 185.153.221.120:27910,Bursa Dedicated (330 ) - 37.247.111.141:27910,